"","_id","Neighbourhood","F2020_Population_Projection","Assault_in_total","AutoTheft_in_total","BreakAndEnter_in_total","Robbery_in_total","TheftOver_in_total","Homicide_in_total","Shooting_in_total","Crime_rate_in_total","Crime_in_total"
"1",1,"Yonge-St.Clair",14083,186,35,165,22,27,0,1,3281.78998,436
"2",2,"York University Heights",30277,2370,823,789,514,266,5,42,16447.8711461504,4809
"3",3,"Lansing-Westgate",18146,509,181,272,93,50,10,5,6466.388196,1120
"4",4,"Yorkdale-Glen Park",17560,1125,426,474,231,155,8,57,15348.7267661012,2476
"5",5,"Stonegate-Queensway",27410,614,227,352,135,43,0,8,5236.1194,1379
"6",6,"Tam O'Shanter-Sullivan",29970,781,169,431,181,35,5,15,5605.507423,1617
"7",7,"The Beaches",23364,654,122,365,133,49,0,2,5867.526029,1325
"8",8,"Thistletown-Beaumond Heights",10948,403,199,125,110,19,2,10,8047.073757,868
"9",9,"Thorncliffe Park",23518,683,83,197,69,47,12,26,5024.25228328572,1117
"10",10,"Danforth East York",18427,462,73,197,48,24,1,3,4500.912642,808
"11",11,"Humewood-Cedarvale",15854,302,114,245,51,31,2,1,4903.5436,746
"12",12,"Islington-City Centre West",51481,1539,900,798,290,269,5,24,8136.53038597645,3825
"13",13,"Danforth",10353,668,60,259,185,26,1,2,11906.402059,1201
"14",14,"Rustic",10756,471,121,105,66,14,2,41,7886.978334,820
"15",15,"Scarborough Village",18116,1185,128,277,166,24,9,23,10338.1861516081,1812
"16",16,"South Parkdale",24212,1520,118,475,199,74,2,28,10393.743174,2416
"17",17,"South Riverdale",30225,1621,215,793,312,150,11,31,10716.7005760612,3133
"18",18,"St.Andrew-Windfields",20070,382,164,521,67,58,3,6,6344.43650540914,1201
"19",19,"Taylor-Massey",16651,779,71,308,158,29,4,13,8328.114886,1362
"20",20,"Humber Summit",13458,782,608,319,191,126,7,49,15954.587234,2082
"21",21,"Humbermede",16794,836,367,254,171,46,2,35,10466.023629,1711
"22",22,"Centennial Scarborough",14672,327,68,122,41,13,1,4,4102.321795,576
"23",23,"Church-Yonge Corridor",39279,4913,266,1400,1030,246,10,12,22448.7996243372,7877
"24",24,"Clairlea-Birchmount",29302,1726,313,623,279,76,8,19,10826.996581,3044
"25",25,"Cliffcrest",17715,795,119,330,172,34,3,6,8661.51535800001,1459
"26",26,"Flemingdon Park",23505,975,62,137,124,25,1,51,6004.88211016836,1375
"27",27,"Corso Italia-Davenport",15139,602,87,210,161,28,2,8,7418.035096,1098
"28",28,"Ionview",14407,670,46,177,85,14,0,3,7047.633221,995
"29",29,"Junction Area",15623,726,191,301,115,38,1,5,9095.78322196327,1377
"30",30,"Broadview North",12372,400,36,133,47,12,2,3,5235.154442,633
"31",31,"Princess-Rosethorn",12291,163,153,192,87,27,2,5,5384.782903,629
"32",32,"North Riverdale",12585,351,71,273,160,26,4,7,7171.557264,892
"33",33,"Etobicoke West Mall",13072,359,80,109,53,23,5,20,5237.21291741807,649
"34",34,"Forest Hill North",13588,260,134,264,86,22,0,2,5760.150773,768
"35",35,"Glenfield-Jane Heights",33031,2068,479,267,345,72,7,153,10573.428376,3391
"36",36,"Greenwood-Coxwell",15470,759,130,304,115,40,7,15,9077.75526830605,1370
"37",37,"Guildwood",10679,289,27,90,55,11,1,1,4609.808673,474
"38",38,"Trinity-Bellwoods",18270,847,122,496,128,44,3,13,9377.737963,1653
"39",39,"Victoria Village",19005,793,109,268,83,33,2,18,7126.488793,1306
"40",40,"Waterfront Communities-The Island",87808,5734,385,1842,558,394,11,73,12209.1299193089,8997
"41",41,"West Hill",29669,2782,213,551,431,49,7,30,14187.542861,4063
"42",42,"West Humber-Clairville",37133,2015,2587,935,613,371,14,77,18640.818126,6612
"43",43,"Westminster-Branson",28248,705,210,283,89,32,0,6,4837.42072,1325
"44",44,"Kennedy Park",18407,1471,160,302,300,52,3,16,12874.568801,2304
"45",45,"Kingsview Village-The Westway",23318,747,338,223,132,32,9,40,6651.76122235822,1521
"46",46,"Bayview Woods-Steeles",14020,269,105,210,27,15,1,9,4647.179233,636
"47",47,"Clanton Park",18742,500,303,329,70,40,1,8,7179.723993,1251
"48",48,"Keelesdale-Eglinton West",12050,450,147,142,138,21,3,21,7955.10701015938,922
"49",49,"O'Connor-Parkview",20156,1013,117,263,139,48,4,34,8297.00613899016,1618
"50",50,"Old East York",9817,343,35,131,64,18,2,5,6221.59713,598
"51",51,"Casa Loma",12334,297,61,195,41,33,0,0,5362.875218,627
"52",52,"Kensington-Chinatown",21196,2851,234,1084,457,190,8,34,24672.752298,4858
"53",53,"Kingsway South",10327,185,123,169,96,25,0,0,6130.48516,598
"54",54,"Runnymede-Bloor West Village",10792,271,133,169,116,12,0,1,6686.216394,702
"55",55,"Forest Hill South",12450,132,118,272,37,35,0,1,5108.992962,595
"56",56,"Henry Farm",22545,495,107,198,45,40,3,18,4986.2367,906
"57",57,"Annex",34680,1905,175,1094,347,215,3,9,11454.477712,3748
"58",58,"Caledonia-Fairbank",10729,423,57,98,74,13,0,9,6462.870269,674
"59",59,"Humber Heights-Westmount",12325,223,151,154,44,22,5,24,5383.4799445464,623
"60",60,"Roncesvalles",16073,815,109,406,182,38,2,12,9927.058424,1564
"61",61,"University",8433,967,75,473,185,61,1,2,21786.4193,1764
"62",62,"Hillcrest Village",18349,425,143,243,118,39,1,3,5468.206773,972
"63",63,"Mount Dennis",14703,662,137,143,152,18,5,17,7997.358886,1134
"64",64,"Dorset Park",27051,1187,386,527,266,60,3,44,9468.203403,2473
"65",65,"Edenbridge-Humber Valley",17619,194,172,292,36,29,0,6,4420.250052,729
"66",66,"Dovercourt-Wallace Emerson-Junction",40355,1794,263,793,368,70,8,17,8539.13893316578,3313
"67",67,"Newtonbrook West",26115,1062,328,376,168,71,1,7,8012.473517,2013
"68",68,"Niagara",37931,1521,150,618,114,104,6,23,7538.775666,2536
"69",69,"Beechborough-Greenbrook",7130,432,78,105,89,19,0,10,10638.05219,733
"70",70,"High Park North",24557,712,104,329,175,24,1,0,5736.54594688677,1345
"71",71,"High Park-Swansea",26494,599,138,316,135,50,2,19,5012.667452,1259
"72",72,"Highland Creek",13943,390,120,205,99,16,3,8,6345.129223,841
"73",73,"North St.James Town",20595,1257,122,445,224,53,1,10,10672.10011,2112
"74",74,"Oakridge",15735,1132,100,409,244,32,2,39,13293.568907,1958
"75",75,"Rosedale-Moore Park",23693,802,164,520,155,70,0,4,7657.432829,1715
"76",76,"Oakwood Village",22588,894,156,218,191,18,5,44,6899.23508556901,1526
"77",77,"Wexford/Maryvale",29864,1440,500,647,238,98,7,21,10147.0571984894,2951
"78",78,"Eglinton East",24885,1329,160,364,293,40,6,34,9311.782312,2226
"79",79,"Elms-Old Rexdale",10045,401,152,78,97,11,2,24,7754.0329,765
"80",80,"Agincourt North",31618,525,236,339,203,34,1,5,4377.094839,1343
"81",81,"Agincourt South-Malvern West",27406,822,281,561,182,86,3,16,7658.452035,1951
"82",82,"Englemount-Lawrence",25089,718,200,306,156,45,2,58,6259.867937,1485
"83",83,"Eringate-Centennial-West Deane",19924,368,228,179,107,28,3,19,4801.996382,932
"84",84,"L'Amoreaux",48519,1187,189,486,290,40,5,47,4820.219601,2244
"85",85,"Banbury-Don Mills",31186,567,181,480,94,72,0,8,4780.752229,1402
"86",86,"Bathurst Manor",17628,404,214,216,78,28,0,0,5603.73748,940
"87",87,"Alderwood",13242,255,125,187,55,46,1,3,5284.81111963001,672
"88",88,"Regent Park",13131,926,75,239,142,34,7,47,12319.8589972546,1470
"89",89,"Bendale",32770,1682,340,413,395,79,6,27,9388.77495735758,2942
"90",90,"Birchcliffe-Cliffside",24182,1174,127,486,148,39,3,3,8484.545102,1980
"91",91,"Weston-Pellam Park",12074,646,102,148,84,25,5,19,8728.99096741807,1029
"92",92,"Downsview-Roding-CFB",38981,2675,792,564,432,113,10,68,12521.0288351604,4654
"93",93,"Lambton Baby Point",8433,193,63,87,22,9,0,8,4608.54086,382
"94",94,"Bay Street Corridor",32790,4823,216,1154,707,354,14,28,25618.1055099717,7296
"95",95,"Black Creek",23206,1678,384,200,297,71,8,89,11981.958525,2727
"96",96,"Willowdale East",57856,1111,307,574,300,110,1,10,4471.869379,2413
"97",97,"Willowdale West",19571,616,125,190,122,41,1,3,6052.734995,1098
"98",98,"Rouge",50790,1234,376,473,249,80,6,30,5008.01636116738,2448
"99",99,"Mount Olive-Silverstone-Jamestown",35772,1761,462,209,510,35,13,71,8851.53480677758,3061
"100",100,"Cabbagetown-South St.James Town",12655,826,81,471,167,34,6,6,12897.5604325704,1591
"101",101,"Mount Pleasant East",17972,263,78,206,59,26,0,1,3606.697237,633
"102",102,"Mount Pleasant West",36333,883,78,596,125,46,5,3,5251.405415,1736
"103",103,"Blake-Jones",8287,436,40,161,72,14,3,13,9106.86773,739
"104",104,"Rexdale-Kipling",11095,459,224,113,133,11,3,16,8777.055307,959
"105",105,"East End-Danforth",23112,1233,158,513,233,55,4,11,9868.04426148325,2207
"106",106,"New Toronto",12539,687,100,221,127,20,3,13,9707.74845,1171
"107",107,"Palmerston-Little Italy",14992,546,113,319,122,47,2,2,7881.30666807221,1151
"108",108,"Parkwoods-Donalda",38257,1093,230,439,183,39,4,26,5488.979363,2014
"109",109,"Pelmo Park-Humberlea",12278,433,328,167,108,40,3,22,9701.48692399999,1101
"110",110,"Playter Estates-Danforth",8257,492,57,224,78,23,0,4,10811.37234,878
"111",111,"Willowridge-Martingrove-Richview",24158,630,330,280,189,28,4,31,6428.022384,1492
"112",112,"Woburn",58109,2689,375,696,568,98,9,61,7999.31899536475,4496
"113",113,"Woodbine-Lumsden",8309,260,25,114,35,20,3,2,5628.39877,459
"114",114,"Bayview Village",24799,521,148,271,65,59,2,4,4718.8952,1070
"115",115,"Bedford Park-Nortown",26015,318,346,627,95,77,0,5,5951.878293,1468
"116",116,"Rockcliffe-Smythe",23751,930,316,253,225,52,6,29,7807.04014537922,1811
"117",117,"Bridle Path-Sunnybrook-York Mills",10942,210,66,326,26,33,0,9,6681.61226,670
"118",118,"Don Valley Village",29406,875,215,345,216,65,4,7,6093.989796561,1727
"119",119,"Weston",20037,1254,353,326,267,37,12,60,12089.4302382314,2309
"120",120,"Lawrence Park South",16585,151,166,357,48,33,0,0,4722.880163,755
"121",121,"Brookhaven-Amesbury",18892,686,269,246,150,53,0,23,7702.207781,1427
"122",122,"Long Branch",11564,441,95,214,104,18,0,3,8104.18909,875
"123",123,"Malvern",47548,1896,344,338,331,60,10,72,6612.797101,3051
"124",124,"Dufferin Grove",12858,596,73,258,156,37,2,10,9091.650433,1132
"125",125,"Maple Leaf",10947,208,102,88,34,15,0,6,4271.598161,453
"126",126,"Markland Wood",11146,165,101,165,64,20,0,3,4737.972167,518
"127",127,"Steeles",26911,287,179,365,61,23,0,5,3551.906155,920
"128",128,"Lawrence Park North",15751,210,165,181,37,27,1,1,4071.97406107605,622
"129",129,"Yonge-Eglinton",13183,504,65,203,108,37,2,3,7380.052572,922
"130",130,"Morningside",18859,999,114,139,110,12,4,15,7609.804669,1393
"131",131,"Moss Park",23905,3586,220,1084,893,129,18,40,26984.0797761081,5970
"132",132,"Little Portugal",17741,604,101,328,67,38,6,4,6953.297914837,1148
"133",133,"Woodbine Corridor",13484,563,61,230,89,29,3,5,7502.997251,980
"134",134,"Newtonbrook East",17742,536,115,339,73,43,2,2,6508.223756,1110
"135",135,"Milliken",29166,602,424,712,248,113,2,7,7506.96013780008,2108
"136",136,"Pleasant View",16856,327,110,143,84,29,2,8,4254.81145875499,703
"137",137,"Wychwood",16037,488,106,253,103,16,3,5,6386.915674,974
"138",138,"Leaside-Bennington",18627,244,146,248,56,38,0,0,4109.28598,732
"139",139,"Briar Hill-Belgravia",15448,583,161,262,152,38,2,12,8066.32940421157,1210
"140",140,"Mimico (includes Humber Bay Shores)",38739,2092,277,412,125,106,5,11,8415.957866,3028
